,Rank,Country,Gold,Silver,Bronze,Total,Season,Year,Host
0,1, United States,39,41,33,113,Summer,2020,0
1,2, China,38,32,19,89,Summer,2020,0
2,3, Japan,27,14,17,58,Summer,2020,1
3,4, Great Britain,22,20,22,64,Summer,2020,0
4,5, ROC,20,28,23,71,Summer,2020,0
5,6, Australia,17,7,22,46,Summer,2020,0
6,7, Netherlands,10,12,14,36,Summer,2020,0
7,8, France,10,12,11,33,Summer,2020,0
8,9, Germany,10,11,16,37,Summer,2020,0
9,10, Italy,10,10,20,40,Summer,2020,0
10,11, Canada,7,7,10,24,Summer,2020,0
11,12, Brazil,7,6,8,21,Summer,2020,0
12,13, New Zealand,7,6,7,20,Summer,2020,0
13,14, Cuba,7,3,5,15,Summer,2020,0
14,15, Hungary,6,7,7,20,Summer,2020,0
15,16, South Korea,6,4,10,20,Summer,2020,0
16,17, Poland,4,5,5,14,Summer,2020,0
17,18, Czech Republic,4,4,3,11,Summer,2020,0
18,19, Kenya,4,4,2,10,Summer,2020,0
19,20, Norway,4,2,2,8,Summer,2020,0
20,21, Jamaica,4,1,4,9,Summer,2020,0
21,22, Spain,3,8,6,17,Summer,2020,0
22,23, Sweden,3,6,0,9,Summer,2020,0
23,24, Switzerland,3,4,6,13,Summer,2020,0
24,25, Denmark,3,4,4,11,Summer,2020,0
25,26, Croatia,3,3,2,8,Summer,2020,0
26,27, Iran,3,2,2,7,Summer,2020,0
27,28, Serbia,3,1,5,9,Summer,2020,0
28,29, Belgium,3,1,3,7,Summer,2020,0
29,30, Bulgaria,3,1,2,6,Summer,2020,0
30,31, Slovenia,3,1,1,5,Summer,2020,0
31,32, Uzbekistan,3,0,2,5,Summer,2020,0
32,33, Georgia,2,5,1,8,Summer,2020,0
33,34, Chinese Taipei,2,4,6,12,Summer,2020,0
34,35, Turkey,2,2,9,13,Summer,2020,0
35,36, Greece,2,1,1,4,Summer,2020,0
36,36, Uganda,2,1,1,4,Summer,2020,0
37,38, Ecuador,2,1,0,3,Summer,2020,0
38,39, Ireland,2,0,2,4,Summer,2020,0
39,39, Israel,2,0,2,4,Summer,2020,0
40,41, Qatar,2,0,1,3,Summer,2020,0
41,42, Bahamas,2,0,0,2,Summer,2020,0
42,42, Kosovo,2,0,0,2,Summer,2020,0
43,44, Ukraine,1,6,12,19,Summer,2020,0
44,45, Belarus,1,3,3,7,Summer,2020,0
45,46, Romania,1,3,0,4,Summer,2020,0
46,46, Venezuela,1,3,0,4,Summer,2020,0
47,48, India,1,2,4,7,Summer,2020,0
48,49, Hong Kong,1,2,3,6,Summer,2020,0
49,50, Philippines,1,2,1,4,Summer,2020,0
50,50, Slovakia,1,2,1,4,Summer,2020,0
51,52, South Africa,1,2,0,3,Summer,2020,0
52,53, Austria,1,1,5,7,Summer,2020,0
53,54, Egypt,1,1,4,6,Summer,2020,0
54,55, Indonesia,1,1,3,5,Summer,2020,0
55,56, Ethiopia,1,1,2,4,Summer,2020,0
56,56, Portugal,1,1,2,4,Summer,2020,0
57,58, Tunisia,1,1,0,2,Summer,2020,0
58,59, Estonia,1,0,1,2,Summer,2020,0
59,59, Fiji,1,0,1,2,Summer,2020,0
60,59, Latvia,1,0,1,2,Summer,2020,0
61,59, Thailand,1,0,1,2,Summer,2020,0
62,63, Bermuda,1,0,0,1,Summer,2020,0
63,63, Morocco,1,0,0,1,Summer,2020,0
64,63, Puerto Rico,1,0,0,1,Summer,2020,0
65,66, Colombia,0,4,1,5,Summer,2020,0
66,67, Azerbaijan,0,3,4,7,Summer,2020,0
67,68, Dominican Republic,0,3,2,5,Summer,2020,0
68,69, Armenia,0,2,2,4,Summer,2020,0
69,70, Kyrgyzstan,0,2,1,3,Summer,2020,0
70,71, Mongolia,0,1,3,4,Summer,2020,0
71,72, Argentina,0,1,2,3,Summer,2020,0
72,72, San Marino,0,1,2,3,Summer,2020,0
73,74, Jordan,0,1,1,2,Summer,2020,0
74,74, Malaysia,0,1,1,2,Summer,2020,0
75,74, Nigeria,0,1,1,2,Summer,2020,0
76,77, Bahrain,0,1,0,1,Summer,2020,0
77,77, Lithuania,0,1,0,1,Summer,2020,0
78,77, Namibia,0,1,0,1,Summer,2020,0
79,77, North Macedonia,0,1,0,1,Summer,2020,0
80,77, Saudi Arabia,0,1,0,1,Summer,2020,0
81,77, Turkmenistan,0,1,0,1,Summer,2020,0
82,83, Kazakhstan,0,0,8,8,Summer,2020,0
83,84, Mexico,0,0,4,4,Summer,2020,0
84,85, Finland,0,0,2,2,Summer,2020,0
85,86, Botswana,0,0,1,1,Summer,2020,0
86,86, Burkina Faso,0,0,1,1,Summer,2020,0
87,86, Ghana,0,0,1,1,Summer,2020,0
88,86, Grenada,0,0,1,1,Summer,2020,0
89,86, Ivory Coast,0,0,1,1,Summer,2020,0
90,86, Kuwait,0,0,1,1,Summer,2020,0
91,86, Moldova,0,0,1,1,Summer,2020,0
92,86, Syria,0,0,1,1,Summer,2020,0
0,1, United States,37,24,32,93,Summer,2000,0
1,2, Russia,32,28,29,89,Summer,2000,0
2,3, China,28,16,14,58,Summer,2000,0
3,4, Australia,16,25,17,58,Summer,2000,1
4,5, Germany,13,17,26,56,Summer,2000,0
5,6, France,13,14,11,38,Summer,2000,0
6,7, Italy,13,8,13,34,Summer,2000,0
7,8, Netherlands,12,9,4,25,Summer,2000,0
8,9, Cuba,11,11,7,29,Summer,2000,0
9,10, Great Britain,11,10,7,28,Summer,2000,0
10,11, Romania,11,6,9,26,Summer,2000,0
11,12, South Korea,8,10,10,28,Summer,2000,0
12,13, Hungary,8,6,3,17,Summer,2000,0
13,14, Poland,6,5,3,14,Summer,2000,0
