,level_0,index,Flag,Shortcut,Country,Gold,Silver,Bronze,Total,Place,Year
0,0,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/no,NOR,Norway,16.0,8.0,13.0,37.0,beijing,2022
1,1,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,12.0,10.0,5.0,27.0,beijing,2022
2,2,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,9.0,4.0,2.0,15.0,beijing,2022
3,3,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,8.0,10.0,7.0,25.0,beijing,2022
4,4,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/se,SWE,Sweden,8.0,5.0,5.0,18.0,beijing,2022
5,5,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,8.0,5.0,4.0,17.0,beijing,2022
6,6,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/at,AUT,Austria,7.0,7.0,4.0,18.0,beijing,2022
7,7,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ch,SUI,Switzerland,7.0,2.0,5.0,14.0,beijing,2022
8,8,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/roc,ROC,ROC,6.0,12.0,14.0,32.0,beijing,2022
9,9,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,5.0,7.0,2.0,14.0,beijing,2022
10,10,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ca,CAN,Canada,4.0,8.0,14.0,26.0,beijing,2022
11,11,11,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,3.0,6.0,9.0,18.0,beijing,2022
12,12,12,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,2.0,7.0,8.0,17.0,beijing,2022
13,13,13,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,2.0,5.0,2.0,9.0,beijing,2022
14,14,14,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/si,SLO,Slovenia,2.0,3.0,2.0,7.0,beijing,2022
15,15,15,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fi,FIN,Finland,2.0,2.0,4.0,8.0,beijing,2022
16,16,16,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nz,NZL,New Zealand,2.0,1.0,0.0,3.0,beijing,2022
17,17,17,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,1.0,2.0,1.0,4.0,beijing,2022
18,18,18,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,1.0,1.0,0.0,2.0,beijing,2022
19,19,19,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hu,HUN,Hungary,1.0,0.0,2.0,3.0,beijing,2022
20,20,20,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/sk,SVK,Slovakia,1.0,0.0,1.0,2.0,beijing,2022
21,21,21,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cz,CZE,Czech Republic,1.0,0.0,1.0,2.0,beijing,2022
22,22,22,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/be,BEL,Belgium,1.0,0.0,1.0,2.0,beijing,2022
23,23,23,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/by,BLR,Belarus,0.0,2.0,0.0,2.0,beijing,2022
24,24,24,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/es,ESP,Spain,0.0,1.0,0.0,1.0,beijing,2022
25,25,25,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ua,UKR,Ukraine,0.0,1.0,0.0,1.0,beijing,2022
26,26,26,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/pl,POL,Poland,0.0,0.0,1.0,1.0,beijing,2022
27,27,27,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/lv,LAT,Latvia,0.0,0.0,1.0,1.0,beijing,2022
28,28,28,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ee,EST,Estonia,0.0,0.0,1.0,1.0,beijing,2022
29,29,0,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/us,USA,United States of America,39.0,41.0,33.0,113.0,tokyo,2020
30,30,1,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cn,CHN,People's Republic of China,38.0,32.0,18.0,88.0,tokyo,2020
31,31,2,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/jp,JPN,Japan,27.0,14.0,17.0,58.0,tokyo,2020
32,32,3,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/gb,GBR,Great Britain,22.0,21.0,22.0,65.0,tokyo,2020
33,33,4,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/roc,ROC,ROC,20.0,28.0,23.0,71.0,tokyo,2020
34,34,5,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/au,AUS,Australia,17.0,7.0,22.0,46.0,tokyo,2020
35,35,6,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nl,NED,Netherlands,10.0,12.0,14.0,36.0,tokyo,2020
36,36,7,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/fr,FRA,France,10.0,12.0,11.0,33.0,tokyo,2020
37,37,8,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/de,GER,Germany,10.0,11.0,16.0,37.0,tokyo,2020
38,38,9,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/it,ITA,Italy,10.0,10.0,20.0,40.0,tokyo,2020
39,39,10,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/ca,CAN,Canada,7.0,6.0,11.0,24.0,tokyo,2020
40,40,11,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/br,BRA,Brazil,7.0,6.0,8.0,21.0,tokyo,2020
41,41,12,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/nz,NZL,New Zealand,7.0,6.0,7.0,20.0,tokyo,2020
42,42,13,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/cu,CUB,Cuba,7.0,3.0,5.0,15.0,tokyo,2020
43,43,14,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/hu,HUN,Hungary,6.0,7.0,7.0,20.0,tokyo,2020
44,44,15,https://gstatic.olympics.com/s1/f_auto/t_s_pog_flag_x2/static/flag/4x3/kr,KOR,Republic of Korea,6.0,4.0,10.0,20.0,tokyo,2020
